2024-02-03 19:14:54 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-03 19:14:54 [main] INFO  h.p.lernenwor.LernenworApplication - Starting LernenworApplication using Java 19.0.1 with PID 5740 (/home/prozex/projects/lernenwor/build/classes/java/main started by prozex in /home/prozex/projects/lernenwor)
2024-02-03 19:14:54 [main] INFO  h.p.lernenwor.LernenworApplication - No active profile set, falling back to 1 default profile: "default"
2024-02-03 19:14:55 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-02-03 19:14:55 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 25 ms. Found 1 JPA repository interfaces.
2024-02-03 19:14:55 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-02-03 19:14:55 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-02-03 19:14:55 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-02-03 19:14:55 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-02-03 19:14:55 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-02-03 19:14:55 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 853 ms
2024-02-03 19:14:55 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-02-03 19:14:55 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:ed89e321-37e6-4596-bb47-ef4bfa05d776 user=SA
2024-02-03 19:14:55 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-02-03 19:14:55 [main] INFO  liquibase.database - Set default schema name to PUBLIC
2024-02-03 19:14:55 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-02-03 19:14:55 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2024-02-03 19:14:55 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-02-03 19:14:56 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-03 19:14:56 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-02-03 19:14:56 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-02-03 19:14:56 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-02-03 19:14:56 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
