2024-04-18 13:16:42 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-18 13:16:42 [main] INFO  h.p.lernenwor.LernenworApplication - Starting LernenworApplication using Java 17.0.10 with PID 5808 (/home/prozex/projects/lernenwor/build/classes/java/main started by prozex in /home/prozex/projects/lernenwor)
2024-04-18 13:16:42 [main] INFO  h.p.lernenwor.LernenworApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-18 13:16:43 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-18 13:16:43 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 41 ms. Found 2 JPA repository interfaces.
2024-04-18 13:16:44 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2024-04-18 13:16:44 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-18 13:16:44 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-18 13:16:44 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-04-18 13:16:44 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-18 13:16:44 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1415 ms
2024-04-18 13:16:44 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-18 13:16:44 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@11d4d979
2024-04-18 13:16:44 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-18 13:16:44 [main] INFO  liquibase.database - Set default schema name to public
2024-04-18 13:16:44 [main] INFO  liquibase.changelog - Reading from public.databasechangelog
2024-04-18 13:16:44 [main] INFO  liquibase.executor - Changelog query completed.
2024-04-18 13:16:44 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-18 13:16:45 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2024-04-18 13:16:45 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-04-18 13:16:45 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-04-18 13:16:45 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-04-18 13:16:45 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-04-18 13:16:45 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2024-04-18 13:16:45 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-18 13:16:46 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-18 13:16:46 [main] WARN  o.s.security.core.userdetails.User - User.withDefaultPasswordEncoder() is considered unsafe for production and is only intended for sample applications.
2024-04-18 13:16:46 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@60e5b3a8, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1e084a26, org.springframework.security.web.context.SecurityContextHolderFilter@5a5024eb, org.springframework.security.web.header.HeaderWriterFilter@4b1ad751, org.springframework.security.web.authentication.logout.LogoutFilter@3a22d69f, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4509414e, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@6956081d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@31c31fa6, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@5cdf61d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@797ca322, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@399acce3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@70ebaa1e, org.springframework.security.web.access.ExceptionTranslationFilter@562ec518, org.springframework.security.web.access.intercept.AuthorizationFilter@492a220e]
2024-04-18 13:16:46 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-18 13:16:46 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2024-04-18 13:16:46 [main] INFO  h.p.lernenwor.LernenworApplication - Started LernenworApplication in 3.863 seconds (process running for 4.186)
2024-04-18 13:17:07 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-18 13:17:07 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-18 13:17:07 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
